transaction_id,timestamp,sender_id_hash,receiver_id_hash,amount,payment_rail,beneficiary_type,relationship_type,relationship_verified,previous_transaction_count,average_previous_amount,sender_average_amount,amount_to_sender_average,amount_to_relationship_average,transactions_last_10m,receiver_credits_last_24h,is_new_receiver,transaction_hour,is_night,is_new_device,fraud_label,label_type
TXN_0000001,2026-05-01T00:01:19,69f19e0cb5800558,312043293195ba31,5624.19,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,5624.19,5624.19,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000002,2026-05-01T00:04:59,0da57f9d6b10161c,fdd17eace777905b,206.69,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,206.69,206.69,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000003,2026-05-01T00:07:12,5451c5ee22aa627f,dda6ae7a3b9da4ab,6818.54,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,6818.54,6818.54,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000004,2026-05-01T00:08:22,4769ff5a056abad1,662ce190de543562,241332.44,UPI,PERSONAL,FRIEND,0,0,0.0,0.0,241332.44,241332.44,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000005,2026-05-01T00:08:30,4b0e7df50fc2fcb6,21cf0b71026966bd,39222.53,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,39222.53,39222.53,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000006,2026-05-01T00:11:56,8d08700cd717fb1d,9929401b565d3ae4,1291.43,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,1291.43,1291.43,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000007,2026-05-01T00:11:57,5451c5ee22aa627f,03ac05acd227253c,117742.3,UPI,UTILITY,UTILITY,1,0,0.0,6818.54,17.267963522982928,117742.3,1,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000008,2026-05-01T00:12:54,19ffbd098f1d6620,663994131766c579,2031.24,UPI,PERSONAL,FRIEND,0,0,0.0,0.0,2031.24,2031.24,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000009,2026-05-01T00:12:59,2f620e424a3bf109,8aedae1bdc352173,31868.96,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,31868.96,31868.96,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000010,2026-05-01T00:18:35,b51481de8e3102a3,9210784669c724f1,59233.03,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,59233.03,59233.03,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000011,2026-05-01T00:23:43,aebb58736726bd69,9d63b67546be2c4b,43278.97,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,43278.97,43278.97,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000012,2026-05-01T00:25:46,2e14d4dcd18c4201,0da57f9d6b10161c,34222.96,UPI,MERCHANT,MERCHANT,1,0,0.0,0.0,34222.96,34222.96,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000013,2026-05-01T00:27:21,c665d665d299ad5b,15b4717384ceff0a,4167.57,UPI,MERCHANT,MERCHANT,1,0,0.0,0.0,4167.57,4167.57,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000014,2026-05-01T00:29:47,455a46304636d055,ae5c0e38193271ad,4794.09,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,4794.09,4794.09,0,0,1,0,1,0,0,SYNTHETIC_SOURCE_LABEL
TXN_0000015,2026-05-01T00:34:29,3677e61a9834c6a1,67b47cff5703790d,1764.65,UPI,PERSONAL,UNKNOWN,0,0,0.0,0.0,1764.65,1764.65,0,0,1,0,1,1,1,SYNTHETIC_SOURCE_LABEL
